method,aggregation,observed_tokens,cohort,metric,pairs,mean,low,high,sources
history_mean,prefix_mean,2,same_pairs_all_k,gap,43,0.6100104829204883,0.27227829756740807,0.9950748198377876,36
history_mean,prefix_mean,4,same_pairs_all_k,paired_win,43,0.7546296296296295,0.6111111111111112,0.8842592592592592,36
history_mean,prefix_mean,4,same_pairs_all_k,gap,43,0.7493666869418019,0.4291961719400933,1.089328178409976,36
history_mean,prefix_mean,8,same_pairs_all_k,paired_win,43,0.8657407407407407,0.75,0.9583333333333334,36
history_mean,prefix_mean,8,same_pairs_all_k,gap,43,1.0882143546506706,0.7794707589744411,1.3948787598264452,36
prompt_only,current,1,same_pairs_all_k,paired_win,43,0.7731481481481481,0.6387731481481481,0.8935185185185185,36
prompt_only,current,1,same_pairs_all_k,gap,43,1.7125450922943661,0.8785314318792932,2.5329085895207233,36
prompt_only,current,2,same_pairs_all_k,paired_win,43,0.8055555555555556,0.6666666666666666,0.9166666666666666,36
prompt_only,current,2,same_pairs_all_k,gap,43,1.7412586013824507,0.9847128667128626,2.461499552768677,36
prompt_only,current,4,same_pairs_all_k,paired_win,43,0.7824074074074073,0.6481481481481481,0.8935185185185185,36
prompt_only,current,4,same_pairs_all_k,gap,43,3.033307884299564,2.0494951512217523,4.054630965917052,36
prompt_only,current,8,same_pairs_all_k,paired_win,43,0.8287037037037037,0.6990740740740741,0.9351851851851853,36
prompt_only,current,8,same_pairs_all_k,gap,43,3.0838655295267645,2.1122636242281363,3.9926497931978115,36
prompt_only,prefix_mean,1,same_pairs_all_k,paired_win,43,0.7731481481481481,0.6387731481481481,0.8935185185185185,36
prompt_only,prefix_mean,1,same_pairs_all_k,gap,43,1.7125450922943661,0.8785314318792932,2.5329085895207233,36
prompt_only,prefix_mean,2,same_pairs_all_k,paired_win,43,0.8101851851851851,0.6712962962962963,0.9259259259259258,36
prompt_only,prefix_mean,2,same_pairs_all_k,gap,43,1.726901846838408,0.9950015942121402,2.4292293259372983,36
prompt_only,prefix_mean,4,same_pairs_all_k,paired_win,43,0.8379629629629629,0.7129629629629629,0.9444444444444444,36
prompt_only,prefix_mean,4,same_pairs_all_k,gap,43,2.349766803988898,1.5967353141709095,3.115345479005775,36
prompt_only,prefix_mean,8,same_pairs_all_k,paired_win,43,0.8101851851851851,0.6711805555555556,0.9259259259259258,36
prompt_only,prefix_mean,8,same_pairs_all_k,gap,43,2.665379720697234,1.9200053604784806,3.400608481593885,36
