case_id,source_id,side,world,next_top1_changed,sequence_margin,next_margin,tail_margin,mean_margin
14315_headwear_scope,14315,unsupported,event_1_supported_value_0.25_cut_both,False,-4.6869871640751315,-5.713532447814941,1.02654528373981,-0.5194694569037968
14315_headwear_scope,14315,unsupported,event_2_scope_1_restore_relay,False,-4.7070300691584,-5.717781066894531,1.0107509977361309,-0.5212680763757788
14315_headwear_scope,14315,unsupported,event_1_scope_and_value_1_cut_both,False,-4.700515608456266,-5.727226257324219,1.0267106488679527,-0.5206974992918377
14315_headwear_scope,14315,unsupported,event_1_scope_1_cut_both,False,-4.694617811802743,-5.716882705688477,1.0222648938857333,-0.5201200871545792
14315_headwear_scope,14315,unsupported,event_2_supported_value_1_restore_relay,False,-4.7057140107469095,-5.719658851623535,1.0139448408766256,-0.521130937316515
14315_headwear_scope,14315,unsupported,event_1_scope_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_selected_edge_1_restore_state_blocked,False,-4.6988165411762,-5.719114303588867,1.0202977624126675,-0.520533839942237
14315_headwear_scope,14315,unsupported,event_1_selected_edge_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_0_selected_edge_1_restore_state_blocked,False,-4.745699170570731,-5.765996932983398,1.0202977624126675,-0.5252205159782565
14315_headwear_scope,14315,unsupported,event_0_scope_and_value_0.25,False,-4.724231946123518,-5.734479904174805,1.0102479580512869,-0.5230432895354765
14315_headwear_scope,14315,unsupported,event_2_value_source_0.25_restore_state_blocked,False,-4.745699170570731,-5.765996932983398,1.0202977624126675,-0.5252205159782565
14315_headwear_scope,14315,unsupported,event_1_selected_edge_1_restore_relay,False,-4.703645500433848,-5.721078872680664,1.017433372246816,-0.5209373469626295
14315_headwear_scope,14315,unsupported,event_3_scope_and_value_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_1_supported_value_1_restore_relay,False,-4.710349931811782,-5.732484817504883,1.0221348856931005,-0.5216257282666432
14315_headwear_scope,14315,unsupported,event_1_scope_0.25_cut_both,False,-4.706857781532314,-5.717404365539551,1.010546584007237,-0.5212508224726251
14315_headwear_scope,14315,unsupported,event_2_scope_0.25,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_0_scope_and_value_0.25_restore_relay,False,-4.7190744754203955,-5.72932243347168,1.0102479580512842,-0.5225190336319693
14315_headwear_scope,14315,unsupported,event_0_scope_1_restore_relay,False,-4.724384524582069,-5.731317520141602,1.0069329955595325,-0.5230295723067838
14315_headwear_scope,14315,unsupported,event_2_supported_value_0.25_restore_relay,False,-4.706860784035086,-5.727158546447754,1.0202977624126683,-0.5213120693891284
14315_headwear_scope,14315,unsupported,event_1_selected_edge_random_0,False,-4.705804576760455,-5.717832565307617,1.0120279885471621,-0.5211865737356574
14315_headwear_scope,14315,unsupported,event_2_selected_edge_sham,False,-4.697483304481864,-5.717781066894531,1.0202977624126675,-0.5204001886779118
14315_headwear_scope,14315,unsupported,event_0_scope_and_value_1_restore_relay,False,-4.703468005942097,-5.730228424072266,1.026760418130169,-0.5210255077745044
14375_onion_stage,14375,supported,event_2_value_source_0.25_restore_relay,False,6.077309204050361,4.054924011230469,2.0223851928198924,0.6710970478993146
14375_onion_stage,14375,supported,event_0_value_source_0.25_restore_state_blocked,False,6.07316855450236,4.048370361328125,2.0247981931742354,0.670445080690353
14375_onion_stage,14375,supported,event_2_scope_and_value_1_restore_relay,False,6.077678879504345,4.055248260498047,2.0224306190062977,0.6714971580677367
14375_onion_stage,14375,supported,event_2_value_source_1_cut_both,False,6.0616558447104865,4.046846389770508,2.0148094549399787,0.6693452806118836
14375_onion_stage,14375,supported,event_2_selected_edge_0.25_restore_state,False,6.0777862455423985,4.052988052368164,2.0247981931742345,0.6706459611128088
14375_onion_stage,14375,supported,event_0_supported_value_1_cut_both,False,6.062790118988246,4.04918098449707,2.0136091344911753,0.6681170260586939
