feature,layer,responses,onset_minus_pre,paired_dz,expected_direction,direction_supported
grounding_lower_std,15,222,0.004986882578950745,0.26201960683068665,1,True
grounding_lower_std,16,222,0.0054998140412944934,0.32354716640754505,1,True
grounding_lower_std,17,222,0.0024575393412027274,0.11981822966986265,1,True
grounding_lower_std,18,222,-0.0003526825290005486,-0.01453516794790996,1,False
grounding_lower_std,19,222,-0.0014110321665669347,-0.06541748845372793,1,False
grounding_lower_std,20,222,-0.004550291493803532,-0.22098775408819904,1,False
grounding_lower_std,21,222,0.0010812024980246483,0.04160344976385104,1,True
grounding_lower_std,22,222,0.0046987546993805486,0.17734039312375668,1,True
grounding_lower_std,23,222,0.002529460349464202,0.12108069549959694,1,True
grounding_lower_std,24,222,0.0016034355403872224,0.08750823552492926,1,True
grounding_lower_std,25,222,0.0035527141110317127,0.19398405782255743,1,True
grounding_lower_std,26,222,0.0019425549754151354,0.12100321347038308,1,True
grounding_lower_std,27,222,-0.0017088710389158747,-0.1358937802532125,1,False
grounding_lower_std,28,222,0.003027851349330163,0.13118764834124289,1,True
grounding_lower_std,29,222,0.0011689409546486967,0.06337964243205588,1,True
grounding_lower_std,30,222,0.0039228188830453,0.27423494158868894,1,True
grounding_lower_std,31,222,0.0009061707234060442,0.08001183477223625,1,True
grounding_upper_mean,0,222,-0.0046026588560224655,-0.21140595489141079,0,False
grounding_upper_mean,1,222,0.0016366748122481612,0.22756780283693392,0,False
grounding_upper_mean,2,222,0.00023782414359015388,0.25094909883736805,0,False
grounding_upper_mean,3,222,2.7069637367317268e-05,0.36247089548930905,0,False
grounding_upper_mean,4,222,3.358802279910526e-06,0.4003784541792585,0,False
grounding_upper_mean,5,222,4.107887680466111e-07,0.3198211277422747,0,False
grounding_upper_mean,6,222,6.739083711091463e-08,0.2730501681980725,0,False
grounding_upper_mean,7,222,6.175255990243173e-09,0.09929050941024511,0,False
grounding_upper_mean,8,222,0.0,0.0,0,False
grounding_upper_mean,9,222,0.0,0.0,0,False
grounding_upper_mean,10,222,0.0,0.0,0,False
grounding_upper_mean,11,222,0.0,0.0,0,False
grounding_upper_mean,12,222,0.0,0.0,0,False
grounding_upper_mean,13,222,0.0,0.0,0,False
grounding_upper_mean,14,222,0.0,0.0,0,False
grounding_upper_mean,15,222,0.0,0.0,0,False
grounding_upper_mean,16,222,0.0,0.0,0,False
grounding_upper_mean,17,222,0.0,0.0,0,False
grounding_upper_mean,18,222,0.0,0.0,0,False
grounding_upper_mean,19,222,0.0,0.0,0,False
grounding_upper_mean,20,222,0.0,0.0,0,False
grounding_upper_mean,21,222,0.0,0.0,0,False
grounding_upper_mean,22,222,0.0,0.0,0,False
grounding_upper_mean,23,222,0.0,0.0,0,False
grounding_upper_mean,24,222,0.0,0.0,0,False
grounding_upper_mean,25,222,0.0,0.0,0,False
grounding_upper_mean,26,222,0.0,0.0,0,False
grounding_upper_mean,27,222,0.0,0.0,0,False
grounding_upper_mean,28,222,0.0,0.0,0,False
grounding_upper_mean,29,222,0.0,0.0,0,False
grounding_upper_mean,30,222,0.0,0.0,0,False
grounding_upper_mean,31,222,0.0,0.0,0,False
grounding_interval_width,0,222,-0.0041505110424918095,-0.2036328912829468,1,False
grounding_interval_width,1,222,-0.0012308377940375525,-0.05719327464804534,1,False
grounding_interval_width,2,222,-0.0007924233470951114,-0.06297901563513382,1,False
grounding_interval_width,3,222,-0.0011770110073927287,-0.06496361601689798,1,False
grounding_interval_width,4,222,-0.004273325271971591,-0.1888225277041898,1,False
grounding_interval_width,5,222,-0.008087425887047707,-0.31607578270412434,1,False
grounding_interval_width,6,222,-0.012492403186656334,-0.4145429942640046,1,False
grounding_interval_width,7,222,-0.001991448168819015,-0.0643769792497519,1,False
grounding_interval_width,8,222,0.0010921208708135931,0.024796438350913295,1,True
grounding_interval_width,9,222,4.775815450393402e-05,0.0011153204345449453,1,True
grounding_interval_width,10,222,-0.00783332974255622,-0.19686741633624624,1,False
grounding_interval_width,11,222,0.006578660628817103,0.16366490597036906,1,True
