feature,layer,anomaly_auroc,anomaly_auprc,raw_auroc,raw_separability,rewired_anomaly_auroc,real_minus_rewired_auroc
grounding_interval_width,23,nan,nan,nan,nan,nan,nan
grounding_interval_width,24,nan,nan,nan,nan,nan,nan
grounding_interval_width,25,nan,nan,nan,nan,nan,nan
grounding_interval_width,26,nan,nan,nan,nan,nan,nan
grounding_interval_width,27,nan,nan,nan,nan,nan,nan
grounding_interval_width,28,nan,nan,nan,nan,nan,nan
grounding_interval_width,29,nan,nan,nan,nan,nan,nan
grounding_interval_width,30,nan,nan,nan,nan,nan,nan
grounding_interval_width,31,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,0,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,1,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,2,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,3,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,4,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,5,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,6,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,7,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,8,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,9,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,10,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,11,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,12,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,13,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,14,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,15,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,16,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,17,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,18,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,19,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,20,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,21,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,22,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,23,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,24,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,25,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,26,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,27,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,28,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,29,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,30,nan,nan,nan,nan,nan,nan
unsupported_feedback_lower,31,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,0,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,1,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,2,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,3,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,4,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,5,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,6,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,7,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,8,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,9,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,10,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,11,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,12,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,13,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,14,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,15,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,16,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,17,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,18,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,19,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,20,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,21,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,22,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,23,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,24,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,25,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,26,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,27,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,28,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,29,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,30,nan,nan,nan,nan,nan,nan
unsupported_feedback_upper,31,nan,nan,nan,nan,nan,nan
response_source_effective_number,0,nan,nan,nan,nan,nan,nan
response_source_effective_number,1,nan,nan,nan,nan,nan,nan
response_source_effective_number,2,nan,nan,nan,nan,nan,nan
response_source_effective_number,3,nan,nan,nan,nan,nan,nan
response_source_effective_number,4,nan,nan,nan,nan,nan,nan
response_source_effective_number,5,nan,nan,nan,nan,nan,nan
response_source_effective_number,6,nan,nan,nan,nan,nan,nan
response_source_effective_number,7,nan,nan,nan,nan,nan,nan
response_source_effective_number,8,nan,nan,nan,nan,nan,nan
response_source_effective_number,9,nan,nan,nan,nan,nan,nan
