representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,6,0.001,576,288,576,288,6,True,25,26.376147082767748,16.77838982941187,25.09220527356776,-8.313815444155889,-33.53995898762947,-50.134566348314976,0.059459311326142635,0.6358858473088038,0.0,1.4109864105228738e-31,0.9999999782852489,0.3251953125,1.2932242525923346e-27,0.010416666666666666,0.027777777777777776
provenance,Data2txt,0,7,1e-06,576,288,576,288,6,True,26,17.489098972634217,34.17356821786667,45.68898807353409,-11.515419855667428,-68.36665812417314,-91.2874957337266,0.03979888925045941,0.4764657480223007,0.0,1.2725383259911204e-35,0.9999787596137685,0.45817057291666663,8.332351940521715e-56,0.0,0.0
provenance,Data2txt,0,7,0.0001,576,288,576,288,6,True,21,20.829345555511992,22.082084634820685,31.882638202431988,-9.800553567611306,-44.185559824068754,-63.674704282146905,0.049122192915187636,0.5603917887799025,0.0,5.91383533339671e-35,0.9999997869617272,0.3585340711805556,1.1899861185973004e-33,0.0,0.0
provenance,Data2txt,0,7,0.001,576,288,576,288,6,True,25,25.37482194874499,16.632569613951933,25.054024202738976,-8.421454588787041,-33.288621542357596,-50.0165950715258,0.06134286350963122,0.6354099358059435,0.0,1.2186333383205363e-31,0.999999978116898,0.297607421875,4.133299001389411e-23,0.0,0.006944444444444444
provenance,Data2txt,0,8,1e-06,576,288,576,288,6,True,23,16.066086236301974,33.95968428560197,45.218590484305075,-11.258906198703103,-68.12051063492949,-90.45670475540987,0.05897440338212112,0.3898646784939876,0.0,2.6491587463064547e-34,0.999978446467819,0.46847873263888884,1.7900582700006335e-58,0.0,0.0
provenance,Data2txt,0,8,0.0001,576,288,576,288,6,True,24,19.113977228776605,21.830329641858942,31.419320465637334,-9.588990823778392,-43.9015575294093,-62.85999704960826,0.07343372104484772,0.4880351721053547,0.0,3.6616778384708796e-32,0.999999783877765,0.3768446180555556,2.9962424005793714e-37,0.0,0.0
provenance,Data2txt,0,8,0.001,576,288,576,288,6,True,25,23.41790366516573,16.33160183756603,24.632962939944385,-8.301361102378356,-32.960088489180265,-49.29561482397122,0.08440022094334935,0.5782723816672537,0.0,5.229063967669483e-31,0.9999999778522163,0.310546875,3.613407979492311e-25,0.0,0.010416666666666666
provenance,Data2txt,0,9,1e-06,576,288,576,288,6,True,23,15.837714594122003,34.110418311488644,45.157853854601655,-11.04743554311301,-68.44642509554743,-90.41428096500655,0.06300220902266199,0.3712096594871551,0.0,7.26951797634168e-34,0.9999763779098401,0.4755859375,2.3431350041897768e-60,0.0,0.0
provenance,Data2txt,0,9,0.0001,576,288,576,288,6,True,20,18.909769712261728,21.972505188867583,31.377666173025855,-9.40516098415827,-44.21823361917389,-62.85669806887275,0.07085266248933575,0.47351811330836957,0.0,6.258016065912696e-35,0.9999997630744933,0.3543023003472222,7.557298724677854e-33,0.0,0.0
provenance,Data2txt,0,9,0.001,576,288,576,288,6,True,25,23.233228130834064,16.458472542665252,24.616065982421812,-8.15759343975656,-33.25364366784057,-49.329191713180684,0.07979629053881612,0.5671398153392793,0.0,1.9273092919803622e-31,0.9999999756642586,0.31689453125,3.259088974520954e-26,0.0,0.0
