representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,22,1e-06,576,288,128,128,6,True,22,51.98033965800567,35.73627345967148,47.79889585091243,-12.062622391240952,-72.6073914779125,-95.94542644577558,0.0288542762743595,0.6963997993029247,0.06666666666666667,0.09289783160890405,0.9999632618779681,0.40625,1.3289980870454757e-19,0.0,0.0078125
provenance,Data2txt,0,22,0.0001,576,288,128,128,6,True,26,65.17657620030961,23.79864938440641,34.0182331771212,-10.21958379271479,-48.96640294120621,-68.38457068179589,0.03490809871986766,0.7589188719765811,0.06666666666666667,0.09289783160890408,0.9999996310899603,0.30859375,2.538865745522775e-11,0.015625,0.0390625
provenance,Data2txt,0,22,0.001,576,288,128,128,6,True,28,85.34630142274652,18.520875519496244,27.333127633594323,-8.812252114098083,-38.72730133903369,-55.018489602548804,0.03875735543467592,0.8124474980747773,0.06666666666666667,0.0928978316089041,0.9999999617131399,0.2265625,2.9565885080962975e-06,0.0625,0.140625
provenance,Data2txt,0,23,1e-06,576,288,128,128,6,True,22,54.379401178883796,36.02276112907658,47.57259914110914,-11.549838012032566,-72.74427925465756,-95.13463656513403,0.0315639311000845,0.6185240905197966,0.0,2.2713461373682663e-34,0.9999564788440639,0.41015625,5.470057972924996e-20,0.0,0.0
provenance,Data2txt,0,23,0.0001,576,288,128,128,6,True,29,68.20458189247402,24.116244459387694,33.782789770160484,-9.666545310772792,-49.13402873408613,-67.55893784043548,0.03749138403744668,0.6985548318511825,0.0,8.728613360080495e-34,0.9999995627898491,0.32421875,1.7752249813670875e-12,0.0078125,0.03125
provenance,Data2txt,0,23,0.001,576,288,128,128,6,True,25,89.42022422831661,18.8781556225729,27.05176285033791,-8.173607227765007,-38.961851937605914,-54.13064161251603,0.04122523096604892,0.7659821962304393,0.0,3.925748291896322e-32,0.999999954454826,0.234375,1.1452873919607316e-06,0.046875,0.0859375
provenance,Data2txt,0,24,1e-06,576,288,128,128,6,True,20,31.730707707083656,36.17164506963314,47.20495774385802,-11.033312674224874,-72.36833932296457,-94.47859288797798,0.018996180347276976,0.6345347528275463,0.0,2.324759322825224e-34,0.9999746075319257,0.4921875,3.9093247371776895e-29,0.0,0.0
provenance,Data2txt,0,24,0.0001,576,288,128,128,6,True,26,39.47624061106281,24.215964134630948,33.43161084640495,-9.215646711774006,-48.43994069490155,-66.9212388733454,0.02836782713065802,0.7054981056843873,0.0,5.658233981772165e-33,0.9999997449215529,0.3671875,5.542534149978852e-16,0.015625,0.015625
provenance,Data2txt,0,24,0.001,576,288,128,128,6,True,26,51.44960961340345,18.89268335977654,26.74834268569161,-7.855659325915071,-37.74178141720425,-53.48849129210113,0.034703875883748986,0.7651064862105627,0.0,1.2979968839567523e-31,0.9999999734377338,0.265625,1.838083532653948e-08,0.0234375,0.03125
provenance,Data2txt,0,25,1e-06,576,288,128,128,6,True,22,58.873799007900985,36.55031149745314,47.78141347509569,-11.23110197764255,-74.01548576959038,-95.82395884349455,0.02567591998956402,0.6948133287508674,0.06666666666666667,0.039995749879417536,0.9999537878784499,0.40625,1.3289980870454757e-19,0.0078125,0.0078125
provenance,Data2txt,0,25,0.0001,576,288,128,128,6,True,27,74.94716933236174,24.66101418664275,34.005660802688084,-9.344646616045333,-50.43564169444541,-68.27390851241447,0.03117433269369606,0.7593755654632388,0.06666666666666667,0.03999574987941758,0.9999995356635647,0.3125,1.3232765413914088e-11,0.0078125,0.0390625
provenance,Data2txt,0,25,0.001,576,288,128,128,6,True,26,100.77827488288898,19.42469908141178,27.33770707950344,-7.913007998091661,-40.23998694197674,-54.95161121343409,0.03431896239872125,0.8122868945165057,0.06666666666666667,0.039995749879417536,0.9999999515459971,0.29296875,3.1472328013771007e-10,0.046875,0.109375
provenance,Data2txt,0,26,1e-06,576,288,128,128,6,True,22,21.695795121992003,34.22004828981163,46.073361741602085,-11.853313451790449,-70.10757318730464,-93.44750609019009,0.07361586948225167,0.8582698203205683,0.0,5.214188260548858e-35,0.9999798850336225,0.40234375,3.196793611528768e-19,0.0078125,0.0078125
provenance,Data2txt,0,26,0.0001,576,288,128,128,6,True,21,26.392136898647003,22.038882136331754,32.30769639478815,-10.268814258456402,-46.01143674071858,-65.92932948611664,0.07884436110081126,0.8821728396481688,0.0,4.763892187733462e-34,0.9999997982908865,0.3515625,1.1885095331896712e-14,0.03125,0.0546875
