left,right,relation,dose,left_support,right_support,joint_support,interaction,full,without_left,without_right,without_both,left_conditional,right_conditional,sham_error,numeric_ok,readout,case_id,source_id,side,phase,position,seed,opposed_finite_effects,left_direction_changes,right_direction_changes,nonadditive_effect,small_singles_large_joint
L12H12_head_total,L12H31_head_total,different_heads,0.25,0.6309982219775776,-0.5905555788989085,0.0753146301588119,-0.0348719870801428,6.077786245542399,5.446788023564821,6.668341824441307,6.002471615383587,0.6658702090577204,-0.5556835918187657,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,False,False
L12H12_head_total,L12H31_head_total,different_heads,1.0,1.5622846479535344,-1.3709495504154745,-0.1182037884320621,0.309538885970122,6.077786245542399,4.515501597588864,7.448735795957873,6.195990033974461,1.2527457619834124,-1.6804884363855963,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,True,False
L12H2_evidence,L12H2_history,evidence_history,0.25,-0.0015270935961986,0.0080245858278154,-0.0500479810577143,0.0565454732893311,6.077786245542399,6.079313339138597,6.069761659714583,6.127834226600113,-0.0580725668855297,-0.0485208874615157,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,True
L12H2_evidence,L12H2_history,evidence_history,1.0,-0.0837300746377982,0.8792094255472387,0.8591204699914599,-0.0636411190820194,6.077786245542399,6.161516320180197,5.19857681999516,5.218665775550939,-0.0200889555557788,0.942850544629258,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,True,False
L12H1_evidence,L12H1_history,evidence_history,0.25,-0.1089900683055349,0.3341155286984421,0.2901331303570194,-0.0650076699641122,6.077786245542399,6.1867763138479335,5.7436707168439565,5.787653115185379,-0.0439823983414227,0.3991231986625543,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,True,False
L12H1_evidence,L12H1_history,evidence_history,1.0,-0.0798267490758135,1.1077115589483435,1.1272108255781923,-0.0993260157056621,6.077786245542399,6.157612994618212,4.970074686594055,4.950575419964206,0.0194992666298485,1.207037574654006,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,True,False,False,True,False
L12H12_evidence,L12H12_history,evidence_history,0.25,-3.444992927992274e-05,0.6126350900809285,0.6126350900809285,-3.444992927992274e-05,6.077786245542399,6.077820695471679,5.46515115546147,5.46515115546147,0.0,0.6126695400102085,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,False,False
L12H12_evidence,L12H12_history,evidence_history,1.0,-0.0294704039710413,1.5481076446329451,1.5051066934696875,0.0135305471922162,6.077786245542399,6.10725664951344,4.529678600909453,4.572679552072711,-0.0430009511632576,1.534577097440729,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,False,False
L12H31_evidence,L12H31_history,evidence_history,0.25,-0.1301876483575315,-0.4813617047374352,-0.4451864134037961,-0.1663629396911705,6.077786245542399,6.20797389389993,6.559147950279834,6.522972658946195,0.036175291333639,-0.3149987650462647,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H31_evidence,L12H31_history,evidence_history,1.0,-0.0461391988966237,-1.4061405292524434,-1.408603615985899,-0.0436761121631681,6.077786245542399,6.123925444439022,7.483926774794842,7.4863898615282976,-0.0024630867334556,-1.3624644170892752,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,False,False
L12H2_evidence,L12H2_inapplicable_source,applicable_inapplicable,0.25,-0.0015270935961986,-0.0969113144069631,-0.0149986660526488,-0.0834397419505128,6.077786245542399,6.079313339138597,6.174697559949362,6.092784911595047,0.0819126483543142,-0.0134715724564502,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H2_evidence,L12H2_inapplicable_source,applicable_inapplicable,1.0,-0.0837300746377982,-0.0048397537807831,-0.0808717414517943,-0.007698086966787,6.077786245542399,6.161516320180197,6.082625999323182,6.158657986994193,-0.0760319876710111,0.0028583331860039,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,False,False
L12H1_evidence,L12H1_inapplicable_source,applicable_inapplicable,0.25,-0.1089900683055349,0.0282560970704901,-0.1159580114358247,0.0352240402007799,6.077786245542399,6.1867763138479335,6.049530148471908,6.193744256978223,-0.1442141085063149,-0.0069679431302898,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,False,False
L12H1_evidence,L12H1_inapplicable_source,applicable_inapplicable,1.0,-0.0798267490758135,0.0258731655364652,0.0005058740225578,-0.0544594575619061,6.077786245542399,6.157612994618212,6.051913080005933,6.077280371519841,-0.0253672915139073,0.0803326230983714,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,True,False
L12H12_evidence,L12H12_inapplicable_source,applicable_inapplicable,0.25,-3.444992927992274e-05,0.0,-3.444992927992274e-05,0.0,6.077786245542399,6.077820695471679,6.077786245542399,6.077820695471679,-3.444992927992274e-05,0.0,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,False,False
L12H12_evidence,L12H12_inapplicable_source,applicable_inapplicable,1.0,-0.0294704039710413,-3.444992927992274e-05,-0.0294704039710413,-3.444992927992274e-05,6.077786245542399,6.10725664951344,6.077820695471679,6.10725664951344,-0.0294359540417614,0.0,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,False,False,False
L12H31_evidence,L12H31_inapplicable_source,applicable_inapplicable,0.25,-0.1301876483575315,-0.0693832813475578,-0.0464138469374564,-0.1531570827676329,6.077786245542399,6.20797389389993,6.147169526889956,6.124200092479855,0.0229694344101014,0.083773801420075,0.0,True,sequence_margin,14375_onion_stage,14375,supported,onset,126,1,False,False,True,True,False
