layer,head,selection,unit,receiver,source_group,dose,full,cut,support,sham_error,numeric_ok,readout,control,case_id,source_id,side,phase,position,seed
31,14,paired_gradient,L31H14_prior_history,468,prior_history,1.0,-4.697483304481864,-4.69212365482366,-0.005359649658204,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_head_total,468,head_total,0.25,-4.697483304481864,-4.058511975746512,-0.6389713287353516,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_head_total,468,head_total,1.0,-4.697483304481864,-2.828993085365652,-1.868490219116212,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
31,14,paired_gradient,L31H14_head_total,468,head_total,1.0,-4.697483304481864,-6.032318356972098,1.3348350524902344,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_evidence,468,evidence,0.25,-4.697483304481864,-4.772962151861764,0.0754788473798999,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_evidence,468,evidence,1.0,-4.697483304481864,-4.77137051814737,0.0738872136655057,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_inapplicable_source,468,inapplicable_source,0.25,-4.697483304481864,-4.714315401207,0.0168320967251363,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_inapplicable_source,468,inapplicable_source,1.0,-4.697483304481864,-4.833815103833255,0.1363317993513915,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_history,468,history,0.25,-4.697483304481864,-4.699280709812335,0.0017974053304712,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_history,468,history,1.0,-4.697483304481864,-4.942696584245655,0.2452132797637913,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_query_self,468,query_self,0.25,-4.697483304481864,-4.626346217341863,-0.0711370871400012,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_query_self,468,query_self,1.0,-4.697483304481864,-4.775950279928938,0.0784669754470739,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_prior_history,468,prior_history,0.25,-4.697483304481864,-4.787072989620026,0.0895896851381623,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_prior_history,468,prior_history,1.0,-4.697483304481864,-4.822024376566167,0.1245410720843027,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_head_total,468,head_total,0.25,-4.697483304481864,-4.6928053042316185,-0.0046780002502453,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_head_total,468,head_total,1.0,-4.697483304481864,-4.811910293321307,0.1144269888394431,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
17,27,paired_gradient,L17H27_head_total,468,head_total,1.0,-4.697483304481864,-4.339692435722923,-0.3577908687589408,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_evidence,468,evidence,0.25,-4.697483304481864,-4.823105357430823,0.1256220529489589,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_evidence,468,evidence,1.0,-4.697483304481864,-5.53341304882807,0.8359297443462061,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_inapplicable_source,468,inapplicable_source,0.25,-4.697483304481864,-4.502296056472116,-0.1951872480097476,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_inapplicable_source,468,inapplicable_source,1.0,-4.697483304481864,-4.461119195052154,-0.2363641094297097,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_history,468,history,0.25,-4.697483304481864,-4.709564743877405,0.0120814393955415,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_history,468,history,1.0,-4.697483304481864,-4.664387758064902,-0.0330955464169617,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_query_self,468,query_self,0.25,-4.697483304481864,-4.785735533949893,0.0882522294680292,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_query_self,468,query_self,1.0,-4.697483304481864,-4.678159802040155,-0.0193235024417086,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_prior_history,468,prior_history,0.25,-4.697483304481864,-4.708393886782574,0.0109105823007098,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_prior_history,468,prior_history,1.0,-4.697483304481864,-4.673483427210134,-0.0239998772717298,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_head_total,468,head_total,0.25,-4.697483304481864,-4.815273097444384,0.1177897929625197,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_head_total,468,head_total,1.0,-4.697483304481864,-5.393858148121952,0.6963748436400881,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,20,paired_gradient,L18H20_head_total,468,head_total,1.0,-4.697483304481864,-4.425122346826383,-0.2723609576554811,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_evidence,468,evidence,0.25,-4.697483304481864,-4.737829362337225,0.0403460578553609,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_evidence,468,evidence,1.0,-4.697483304481864,-4.706348186049072,0.0088648815672076,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_inapplicable_source,468,inapplicable_source,0.25,-4.697483304481864,-4.71663714308979,0.0191538386079264,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_inapplicable_source,468,inapplicable_source,1.0,-4.697483304481864,-4.727906991006102,0.0304236865242382,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_history,468,history,0.25,-4.697483304481864,-4.749263295807181,0.0517799913253176,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_history,468,history,1.0,-4.697483304481864,-4.756669942825948,0.0591866383440837,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_query_self,468,query_self,0.25,-4.697483304481864,-4.729429694352548,0.0319463898706837,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_query_self,468,query_self,1.0,-4.697483304481864,-4.718809712930684,0.0213264084488198,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_prior_history,468,prior_history,0.25,-4.697483304481864,-4.74159759509931,0.044114290617446,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_prior_history,468,prior_history,1.0,-4.697483304481864,-4.726485112647283,0.029001808165419,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_head_total,468,head_total,0.25,-4.697483304481864,-4.762905451386002,0.0654221469041385,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_head_total,468,head_total,1.0,-4.697483304481864,-4.773043732600697,0.0755604281188331,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
27,6,model_head_control,L27H6_head_total,468,head_total,1.0,-4.697483304481864,-4.825240142524307,0.1277568380424432,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,unsupported,onset,35,2
12,2,paired_gradient,L12H2_evidence,660,evidence,0.25,6.077786245542399,6.079313339138597,-0.0015270935961986,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_evidence,660,evidence,1.0,6.077786245542399,6.161516320180197,-0.0837300746377982,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_inapplicable_source,660,inapplicable_source,0.25,6.077786245542399,6.174697559949362,-0.0969113144069631,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_inapplicable_source,660,inapplicable_source,1.0,6.077786245542399,6.082625999323182,-0.0048397537807831,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_history,660,history,0.25,6.077786245542399,6.069761659714583,0.0080245858278154,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_history,660,history,1.0,6.077786245542399,5.19857681999516,0.8792094255472387,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_query_self,660,query_self,0.25,6.077786245542399,6.246822333781859,-0.1690360882394603,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_query_self,660,query_self,1.0,6.077786245542399,6.429411666349896,-0.3516254208074976,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_prior_history,660,prior_history,0.25,6.077786245542399,6.004201346214471,0.073584899327928,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_prior_history,660,prior_history,1.0,6.077786245542399,4.848119835435,1.2296664101073986,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_head_total,660,head_total,0.25,6.077786245542399,6.115124301101978,-0.0373380555595792,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_head_total,660,head_total,1.0,6.077786245542399,5.198503194593167,0.8792830509492315,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
12,2,paired_gradient,L12H2_head_total,660,head_total,1.0,6.077786245542399,6.77298942749,-0.6952031819476012,0.0,True,sequence_margin,equal_norm_random,14375_onion_stage,14375,supported,onset,126,1
12,1,paired_gradient,L12H1_evidence,660,evidence,0.25,6.077786245542399,6.1867763138479335,-0.1089900683055349,0.0,True,sequence_margin,,14375_onion_stage,14375,supported,onset,126,1
