method,aggregation,observed_tokens,cohort,metric,pairs,mean,low,high,sources
current_increment,current,1,same_pairs_all_k,gap,43,0.13752325999171092,0.07091621473552312,0.2036751598510373,36
current_increment,current,2,same_pairs_all_k,paired_win,43,0.8101851851851851,0.6805555555555556,0.9305555555555556,36
current_increment,current,2,same_pairs_all_k,gap,43,0.14294883946853656,0.08207733060845554,0.2089704038298481,36
current_increment,current,4,same_pairs_all_k,paired_win,43,0.6944444444444444,0.5552083333333334,0.8333333333333334,36
current_increment,current,4,same_pairs_all_k,gap,43,0.12110745076917939,0.05038788213627417,0.1893899590190914,36
current_increment,current,8,same_pairs_all_k,paired_win,43,0.6481481481481483,0.4907407407407407,0.7916666666666666,36
current_increment,current,8,same_pairs_all_k,gap,43,0.10287089881797633,0.030606495147674457,0.17557596171378254,36
current_increment,prefix_mean,1,same_pairs_all_k,paired_win,43,0.7870370370370371,0.6481481481481481,0.9076388888888878,36
current_increment,prefix_mean,1,same_pairs_all_k,gap,43,0.13752325999171092,0.07091621473552312,0.2036751598510373,36
current_increment,prefix_mean,2,same_pairs_all_k,paired_win,43,0.8148148148148149,0.675925925925926,0.9351851851851851,36
current_increment,prefix_mean,2,same_pairs_all_k,gap,43,0.14023604973012374,0.08243261362115545,0.19895714396313346,36
current_increment,prefix_mean,4,same_pairs_all_k,paired_win,43,0.7592592592592592,0.6157407407407407,0.8888888888888888,36
current_increment,prefix_mean,4,same_pairs_all_k,gap,43,0.13177328021869203,0.07608759942276974,0.18635299719428136,36
current_increment,prefix_mean,8,same_pairs_all_k,paired_win,43,0.7175925925925926,0.5694444444444444,0.8425925925925927,36
current_increment,prefix_mean,8,same_pairs_all_k,gap,43,0.1239029528469675,0.07574619917991286,0.1710619948552145,36
past_ewma,current,1,same_pairs_all_k,paired_win,43,0.7268518518518517,0.5833333333333334,0.8518518518518517,36
past_ewma,current,1,same_pairs_all_k,gap,43,0.06660915110706636,0.021835753931895935,0.11317787261593434,36
past_ewma,current,2,same_pairs_all_k,paired_win,43,0.8796296296296295,0.7777777777777778,0.9677083333333326,36
past_ewma,current,2,same_pairs_all_k,gap,43,0.1299095508388867,0.0830061543297605,0.17676917576164652,36
past_ewma,current,4,same_pairs_all_k,paired_win,43,0.8657407407407407,0.7546296296296295,0.9629629629629629,36
past_ewma,current,4,same_pairs_all_k,gap,43,0.19243919621708688,0.12796051977370707,0.2564964088963387,36
past_ewma,current,8,same_pairs_all_k,paired_win,43,0.8148148148148148,0.6851851851851851,0.925925925925926,36
past_ewma,current,8,same_pairs_all_k,gap,43,0.2532048378812166,0.17837454209837764,0.32719973352409093,36
past_ewma,prefix_mean,1,same_pairs_all_k,paired_win,43,0.7268518518518517,0.5833333333333334,0.8518518518518517,36
past_ewma,prefix_mean,1,same_pairs_all_k,gap,43,0.06660915110706636,0.021835753931895935,0.11317787261593434,36
past_ewma,prefix_mean,2,same_pairs_all_k,paired_win,43,0.8796296296296295,0.7777777777777778,0.9675925925925924,36
past_ewma,prefix_mean,2,same_pairs_all_k,gap,43,0.09825935097297651,0.05529849100431888,0.14138628416176457,36
past_ewma,prefix_mean,4,same_pairs_all_k,paired_win,43,0.8518518518518517,0.7361111111111112,0.949074074074074,36
past_ewma,prefix_mean,4,same_pairs_all_k,gap,43,0.1402589831989987,0.09103210109013898,0.1886568322178793,36
past_ewma,prefix_mean,8,same_pairs_all_k,paired_win,43,0.8796296296296295,0.7685185185185185,0.9722222222222222,36
past_ewma,prefix_mean,8,same_pairs_all_k,gap,43,0.19052080982153174,0.13664174199963378,0.24495711753403765,36
