model,population,tokens,positives,negatives,auroc,ap,tp,fp,fn,tn,recall,fpr
full_unexplained_by_prompt,previous_error,2297,2228,69,0.5491179455155726,0.9751675538959517,279,6,1949,63,0.12522441651705565,0.08695652173913043
self_after_prompt_regression,all,30619,2307,28312,0.5645295477123876,0.11665054022495752,267,1339,2040,26973,0.11573472041612484,0.04729443345577847
self_after_prompt_regression,answer_first,28364,52,28312,0.6610576923076922,0.004059534000277557,10,1339,42,26973,0.19230769230769232,0.04729443345577847
self_after_prompt_regression,continuation,30535,2223,28312,0.5621332318232275,0.11265742272985828,252,1339,1971,26973,0.11336032388663968,0.04729443345577847
self_after_prompt_regression,previous_normal,28173,78,28095,0.6102262926608897,0.005407388294341652,13,1333,65,26762,0.16666666666666666,0.047446164798006764
self_after_prompt_regression,previous_error,2297,2228,69,0.5444865089896703,0.9742244701172651,254,6,1974,63,0.11400359066427289,0.08695652173913043
self_plus_prompt,all,30619,2307,28312,0.871994126258976,0.5328071552633725,836,382,1471,27930,0.3623753792804508,0.013492512009042102
self_plus_prompt,answer_first,28364,52,28312,0.7117483480774665,0.005348788380058356,4,382,48,27930,0.07692307692307693,0.013492512009042102
self_plus_prompt,continuation,30535,2223,28312,0.8754290282803393,0.5350824716429958,825,382,1398,27930,0.37112010796221323,0.013492512009042102
self_plus_prompt,previous_normal,28173,78,28095,0.7793119498405138,0.015351188398346033,10,377,68,27718,0.1282051282051282,0.013418757786082933
self_plus_prompt,previous_error,2297,2228,69,0.7542021179715349,0.9894379388268978,826,5,1402,64,0.37073608617594256,0.07246376811594203
